# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
134 216 1023 1023
310 151 1023 0
354 494 0 1023
942 699 1023 1023
233 946 1023 1023
930 225 1023 0
904 964 0 0
684 720 1023 0
914 880 0 0
891 932 0 1023
867 333 1023 0
570 558 0 0
508 652 0 1023
445 309 1023 1023
981 289 0 1023
861 394 1023 1023
136 278 0 0
645 440 0 1023
808 399 0 0
240 892 1023 0
929 19 0 0
430 333 0 1023
695 881 1023 1023
285 374 0 0
462 659 0 1023
1000 901 1023 0
110 543 0 1023
416 320 1023 1023
725 997 1023 1023
675 43 1023 0
434 962 0 1023
982 657 1023 1023
606 343 1023 0
858 923 0 0
543 565 1023 1023
1004 636 1023 0
231 733 0 1023
756 1019 1023 1023
280 27 1023 1023
868 290 0 1023
5 820 1023 0
448 65 1023 0
86 603 0 0
910 112 0 0
25 557 1023 1023
869 1019 1023 0
162 629 0 1023
277 54 0 0
999 371 1023 1023
790 357 1023 0
231 13 0 0
47 558 0 1023
75 592 1023 1023
946 704 1023 0
681 883 1023 0
216 107 0 1023
895 715 0 1023
174 726 0 1023
853 11 0 0
5 809 0 1023
415 98 0 0
659 274 0 1023
596 768 1023 1023
211 88 1023 0
758 774 1023 1023
558 703 1023 1023
779 858 0 0
577 757 0 1023
575 274 1023 0
310 54 0 0
633 249 0 0
221 17 1023 0
523 230 0 0
295 65 0 0
486 287 0 0
447 637 0 0
687 231 1023 0
592 515 1023 1023
231 625 1023 1023
719 631 0 1023
919 227 1023 1023
880 604 0 1023
269 567 1023 0
20 498 1023 1023
934 406 0 0
308 885 0 0
559 401 0 0
327 703 0 0
558 483 1023 1023
980 246 0 1023
724 565 1023 1023
631 6 1023 0
615 945 0 0
219 585 1023 0
779 55 0 0
803 21 0 1023
411 58 1023 0
183 480 0 1023
199 578 0 0
882 778 0 1023
880 656 1023 0
906 68 1023 0
911 511 0 0
327 267 1023 1023
542 698 0 1023
548 816 1023 1023
1000 444 0 1023
664 93 0 1023
922 125 0 0
554 907 1023 0
139 786 1023 0
305 981 0 1023
827 609 0 1023
620 932 0 1023
831 278 1023 1023
588 163 0 0
350 442 0 0
108 75 1023 0
845 456 0 1023
884 286 1023 1023
92 934 0 1023
744 875 1023 0
920 770 1023 1023
150 180 1023 1023
969 571 1023 1023
616 365 1023 0
53 415 1023 1023
577 794 1023 0
30 904 0 1023
624 217 0 0
516 137 1023 0
320 905 0 1023
864 77 0 1023
302 881 0 1023
360 6 0 0
839 913 0 1023
745 570 1023 1023
998 674 1023 1023
45 815 0 0
105 896 1023 0
405 376 0 0
539 567 1023 0
393 665 0 1023
351 41 0 1023
698 362 0 1023
766 94 0 1023
19 592 1023 1023
304 714 1023 0
717 986 0 0
451 1022 1023 0
293 358 0 0
698 337 1023 1023
703 225 0 0
373 423 0 1023
940 709 0 1023
326 466 0 0
534 124 1023 1023
664 974 1023 0
496 633 1023 1023
873 568 1023 0
932 918 0 0
698 97 0 1023
890 846 0 1023
101 758 0 1023
173 671 0 1023
358 362 1023 1023
157 612 0 0
323 740 0 1023
75 1014 1023 1023
22 97 1023 0
712 458 1023 0
928 359 0 1023
415 3 1023 1023
29 496 1023 1023
882 777 1023 1023
129 917 0 0
175 769 1023 0
746 712 1023 0
443 76 1023 1023
442 796 0 0
261 1001 0 0
90 951 0 1023
810 859 0 0
941 648 1023 1023
615 567 1023 1023
885 815 1023 1023
216 963 1023 1023
473 951 1023 0
406 64 1023 0
644 858 0 1023
271 320 0 0
684 589 0 0
887 462 0 1023
838 204 1023 1023
400 1003 1023 1023
867 208 1023 1023
581 560 0 1023
654 154 1023 1023
322 911 1023 0
665 213 0 1023
176 759 1023 0
825 23 1023 0
1006 203 0 1023
780 869 0 0
638 859 1023 1023
748 688 0 0
874 367 0 1023
339 39 0 1023
740 25 0 0
186 405 1023 1023
301 97 1023 1023
65 439 0 1023
175 989 0 1023
771 546 1023 0
957 887 0 0
807 541 0 1023
773 453 0 0
887 673 1023 1023
528 836 1023 1023
530 163 1023 0
336 794 0 1023
946 553 0 0
135 72 1023 1023
641 965 1023 1023
792 529 0 1023
284 205 1023 0
419 762 0 0
742 393 1023 1023
6 137 1023 0
385 66 0 1023
509 79 0 1023
634 857 0 1023
602 675 0 1023
381 851 1023 1023
810 284 0 1023
736 973 0 1023
410 641 0 1023
374 426 1023 1023
237 84 1023 0
900 332 0 1023
180 90 0 1023
93 432 1023 0
704 425 0 1023
530 988 1023 1023
907 136 0 0
22 213 1023 1023
503 50 0 1023
467 344 0 0
294 779 0 0
339 998 1023 0
632 191 1023 0
789 972 1023 0
358 463 0 1023
149 685 1023 0
91 461 0 0
638 510 0 0
998 345 0 1023
317 40 1023 1023
648 596 1023 1023
567 425 1023 0
681 340 0 0
985 754 0 0
975 182 0 1023
290 661 1023 0
509 789 0 1023
961 241 1023 0
846 1013 1023 1023
843 27 0 1023
863 170 1023 0
172 619 0 0
1 11 1023 1023
778 288 1023 1023
116 30 1023 1023
635 520 1023 1023
367 83 0 1023
903 670 0 0
858 79 1023 1023
691 658 1023 1023
649 326 1023 1023
589 241 1023 1023
700 865 0 0
64 754 1023 1023
888 973 1023 1023
1001 495 0 1023
321 123 1023 1023
20 139 1023 1023
702 779 0 0
1017 53 0 0
143 799 1023 0
918 160 1023 1023
400 1016 0 1023
643 922 0 0
38 681 1023 1023
391 750 0 0
663 708 1023 1023
785 1014 0 1023
25 579 1023 0
807 824 1023 0
1006 126 0 1023
955 324 1023 1023
702 938 1023 0
982 1 1023 1023
222 787 1023 0
400 29 1023 1023
576 1003 0 0
657 319 0 0
588 898 1023 1023
771 623 0 0
6 843 1023 0
495 765 0 0
353 403 0 1023
271 123 0 0
519 672 1023 1023
935 312 1023 0
894 169 1023 0
563 661 1023 0
571 783 0 1023
15 790 1023 1023
834 443 0 0
261 843 1023 0
399 84 1023 0
267 275 1023 1023
866 133 0 1023
155 212 1023 0
177 455 1023 1023
271 247 1023 1023
532 114 0 0
965 902 0 1023
55 575 1023 1023
58 531 1023 1023
391 288 0 1023
702 432 1023 0
355 464 0 0
637 425 1023 0
851 615 0 1023
429 449 0 0
1022 622 1023 0
279 346 0 1023
629 90 1023 0
531 883 1023 0
699 274 1023 1023
956 447 0 0
456 429 0 1023
930 232 0 0
944 1011 1023 1023
465 152 1023 1023
953 284 1023 1023
987 528 1023 0
591 234 1023 0
350 571 0 0
413 402 0 1023
389 858 0 0
585 444 0 1023
610 44 1023 0
179 178 1023 0
335 183 1023 1023
370 697 1023 1023
378 6 0 0
880 275 1023 1023
339 573 1023 1023
864 595 1023 0
216 224 1023 1023
824 403 1023 0
55 818 1023 0
429 532 0 1023
992 188 0 1023
706 782 0 0
120 452 1023 0
879 607 1023 1023
726 407 1023 0
841 778 1023 1023
686 949 0 0
747 310 0 0
584 24 1023 1023
1009 450 0 1023
214 616 0 1023
951 984 0 0
933 807 0 0
661 955 0 0
1008 407 0 0
297 50 0 1023
282 347 0 1023
715 56 0 1023
834 249 1023 1023
906 711 1023 0
105 474 0 0
1002 907 0 0
460 392 1023 1023
357 685 0 1023
619 460 1023 0
463 218 1023 1023
789 13 0 0
767 740 0 1023
748 347 1023 0
263 983 1023 1023
227 691 0 0
427 7 0 1023
617 696 1023 1023
979 252 1023 1023
390 405 1023 1023
403 602 1023 0
799 845 0 1023
1000 467 0 1023
364 534 1023 0
359 767 0 1023
663 69 1023 1023
613 133 0 0
201 388 0 1023
761 310 1023 0
836 205 1023 0
393 226 1023 0
966 861 0 1023
445 448 1023 1023
193 911 1023 1023
135 651 1023 0
814 463 1023 0
1002 812 1023 1023
71 729 1023 1023
323 514 1023 1023
127 67 1023 1023
865 945 1023 1023
85 317 0 1023
789 209 1023 0
408 702 1023 1023
802 204 0 1023
505 803 1023 1023
389 627 0 0
808 312 0 1023
101 448 1023 1023
795 893 0 0
265 454 0 0
144 843 1023 1023
688 445 0 0
147 749 0 1023
152 934 1023 1023
581 623 1023 0
872 518 0 1023
382 692 1023 1023
337 726 1023 0
77 299 0 1023
905 20 1023 0
801 704 1023 1023
545 973 0 0
1020 358 1023 0
7 184 1023 1023
461 627 0 0
696 78 1023 1023
420 419 1023 0
406 332 1023 1023
84 969 1023 1023
583 1014 0 1023
432 45 1023 1023
306 632 0 0
68 744 1023 0
282 466 0 0
900 523 1023 1023
310 251 1023 0
101 641 1023 0
607 398 0 0
929 313 0 0
505 190 0 1023
635 22 0 1023
142 537 0 1023
427 320 0 1023
866 39 0 0
286 108 0 1023
296 114 0 1023
877 996 1023 0
27 453 0 1023
455 52 1023 0
23 170 0 0
994 371 1023 0
788 435 1023 0
147 213 0 1023
284 172 0 1023
106 958 1023 0
691 650 1023 0
657 650 1023 1023
236 534 0 1023
233 874 1023 1023
851 333 0 0
259 656 0 0
360 282 1023 0
797 819 1023 1023
297 230 0 0
642 196 0 1023
579 521 0 1023
901 878 0 1023
478 817 1023 0
107 675 0 0
808 161 0 0
751 213 0 0
404 822 0 0
226 891 1023 1023
455 190 0 0
580 501 1023 0
756 768 0 1023
71 671 0 1023
583 660 0 0
12 363 0 0
597 821 1023 0
436 805 1023 1023
741 45 1023 0
352 420 0 0
997 117 0 0
810 432 1023 0
519 80 0 0
675 674 1023 1023
940 146 1023 1023
411 251 0 1023
205 271 0 1023
283 821 1023 1023
388 980 1023 0
613 518 1023 1023
883 278 1023 1023
212 10 0 0
696 1015 1023 0
450 980 0 1023
489 609 0 0
254 201 0 0
743 531 1023 1023
787 421 1023 0
436 182 0 0
948 953 1023 0
262 720 1023 1023
776 998 1023 1023
390 89 0 1023
772 760 1023 1023
551 284 1023 1023
290 945 1023 0
764 923 1023 0
251 27 1023 1023
108 614 0 0
337 216 0 1023
167 513 0 1023
821 825 1023 0
917 914 1023 0
515 263 1023 0
82 322 1023 1023
40 396 0 0
42 289 0 1023
654 566 0 0
715 254 0 0
604 760 1023 1023
448 169 0 1023
930 287 0 0
145 934 0 0
703 115 0 1023
1007 703 0 1023
615 30 0 1023
577 34 0 0
26 160 0 0
369 788 1023 1023
655 1011 1023 0
723 35 0 0
502 496 0 0
611 935 1023 0
384 54 1023 0
477 951 1023 1023
873 333 0 1023
711 1016 1023 1023
1022 193 1023 0
458 287 1023 0
434 736 1023 0
865 984 1023 1023
975 63 0 1023
939 868 0 1023
727 398 1023 0
937 657 1023 1023
592 356 1023 0
864 950 0 1023
189 904 0 1023
197 328 1023 1023
978 1016 1023 0
175 817 1023 0
491 908 0 0
70 713 1023 0
408 912 0 0
66 658 1023 1023
430 481 0 0
546 193 1023 0
425 820 0 1023
631 855 0 1023
526 161 1023 1023
188 262 1023 1023
993 440 1023 1023
12 88 0 0
536 842 1023 0
252 633 0 0
770 688 1023 0
1022 963 0 1023
996 336 1023 1023
680 294 0 1023
959 31 0 0
789 656 1023 1023
277 491 0 1023
336 257 1023 1023
763 983 1023 0
587 219 0 1023
907 48 0 1023
197 809 0 0
188 450 1023 0
692 46 1023 0
436 728 0 1023
934 786 0 0
833 656 0 0
836 323 0 0
760 546 0 1023
927 512 1023 1023
627 530 0 0
288 728 0 1023
312 29 1023 1023
388 684 0 0
388 1017 1023 1023
557 1010 0 1023
811 572 1023 1023
770 534 1023 0
187 813 0 0
371 131 1023 1023
475 702 1023 0
63 882 1023 0
759 122 0 1023
955 807 1023 0
372 722 0 1023
153 394 0 0
712 712 1023 1023
236 900 0 1023
201 66 1023 1023
797 509 0 1023
266 201 0 1023
964 28 0 1023
365 817 1023 1023
788 307 1023 1023
1008 479 1023 0
195 693 0 0
590 138 1023 1023
46 846 1023 1023
464 712 1023 0
63 624 1023 0
314 622 1023 0
238 541 1023 0
231 143 1023 0
215 961 1023 0
55 986 1023 0
537 983 1023 1023
714 276 1023 1023
544 435 0 1023
67 797 1023 1023
830 267 0 0
152 40 0 1023
536 871 1023 1023
936 172 0 1023
857 783 1023 1023
224 228 0 0
191 704 0 1023
774 138 0 1023
675 511 1023 1023
662 210 1023 0
13 841 0 1023
505 461 0 0
409 853 1023 1023
882 636 1023 0
937 262 0 1023
123 912 0 0
55 307 0 1023
544 739 1023 0
816 811 1023 1023
264 826 0 1023
661 843 1023 0
907 959 1023 1023
959 128 0 0
624 6 1023 1023
438 691 0 0
929 81 0 0
458 664 1023 0
813 163 1023 0
712 854 1023 0
657 880 1023 0
239 825 0 1023
558 614 1023 1023
836 352 1023 0
248 490 0 1023
966 25 1023 0
570 105 0 0
962 586 1023 1023
11 740 1023 0
352 943 0 0
947 821 0 0
377 696 0 1023
141 521 1023 1023
501 432 0 1023
1023 418 1023 1023
149 402 1023 1023
590 317 0 1023
155 73 1023 1023
326 783 1023 0
920 649 0 0
900 822 1023 1023
562 451 1023 0
309 783 1023 0
453 650 1023 0
645 363 1023 1023
312 887 0 0
991 770 1023 0
627 504 1023 1023
867 864 0 1023
985 416 1023 0
287 738 1023 0
369 196 0 0
697 221 0 1023
984 589 1023 1023
703 946 0 0
370 164 0 0
454 734 0 1023
557 491 0 0
399 500 1023 0
200 541 1023 1023
789 58 0 1023
949 403 0 1023
764 322 0 0
812 712 0 0
983 349 1023 1023
499 502 1023 0
379 456 0 0
995 837 0 0
13 252 1023 0
552 689 1023 1023
305 959 0 1023
257 124 1023 1023
805 539 0 1023
957 73 1023 1023
470 910 1023 1023
514 785 0 0
461 18 1023 1023
931 899 0 1023
228 447 1023 0
669 1009 1023 0
945 188 0 0
277 796 1023 1023
294 920 1023 0
737 494 1023 1023
364 632 0 1023
609 671 0 0
385 584 1023 1023
534 34 1023 1023
974 997 0 1023
126 940 0 1023
659 342 1023 1023
490 150 0 1023
168 986 0 0
379 673 1023 1023
346 520 0 1023
13 746 1023 0
292 301 0 1023
875 466 0 0
923 827 1023 1023
894 268 0 1023
790 33 0 1023
238 622 0 1023
657 840 1023 1023
278 83 0 0
717 152 1023 0
289 339 1023 1023
324 287 1023 1023
1 303 1023 0
167 802 1023 0
862 1012 1023 0
359 781 1023 0
365 1002 1023 1023
794 503 0 0
1000 771 0 1023
144 602 0 1023
613 641 1023 1023
993 448 0 1023
388 696 0 0
277 1018 1023 0
353 917 0 0
461 937 1023 1023
482 817 0 0
79 726 1023 1023
977 459 0 1023
91 566 1023 1023
285 203 1023 1023
747 288 1023 0
339 503 1023 1023
995 694 0 0
675 626 1023 1023
428 599 1023 1023
460 211 0 0
581 452 1023 0
191 490 1023 0
952 395 1023 1023
433 125 0 0
911 540 0 0
466 67 1023 0
1004 976 1023 0
122 594 0 1023
326 1015 1023 1023
650 493 1023 0
636 331 0 1023
357 350 0 1023
615 589 1023 0
582 511 0 1023
842 196 1023 0
146 741 0 0
897 391 0 1023
725 1006 0 0
642 523 1023 0
386 336 0 1023
232 619 1023 0
815 697 0 1023
817 698 1023 0
155 970 0 1023
946 749 1023 0
638 169 1023 0
268 965 1023 0
918 109 0 1023
651 363 1023 0
537 685 1023 0
867 341 1023 1023
652 217 1023 1023
837 915 0 0
